Accession;Bdis_Bd21-3;Bsta_ABR114;Bhyb_ABR113;Barb502;Bboi3;Bboi10;Bboi15;Bmex347-2;Bmex504;Bmex348H;Bpho6-1R;Bpho422;Bpho452;Bpho552;Bpho553;Bpho554-1;Bpin505;Bpin34;Bpin514;Bpin520;Bret400;Bret407;Bret453-4;Bret454;Bret504;Bret555;Bret403;Bret408;Bret551;Bret557;Bret561;Brup7;Brup439-1;Brup441;Brup442;Brup443;Brup444;Brup182;Brup600;Brup605;Bsyl54-1;Bsyl466-6;Bsyl477-1;Bsyl501-6
Ty3_gypsy;1.389;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Athila;0.000;4.661;2.072;0.000;0.000;0.000;0.000;2.584;13.380;0.830;0.000;0.000;0.000;0.395;0.036;0.562;0.040;0.000;0.000;0.623;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.159;0.000;0.080;0.000;0.000;0.114;0.000;0.038;0.037;0.036;0.037;0.000;0.000;1.259;1.180;0.501;1.158
Ogre;0.000;0.000;0.000;0.000;0.000;0.000;0.000;17.809;10.519;17.809;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Retand;21.075;3.641;0.186;14.016;55.173;60.471;67.703;191.008;155.298;153.544;16.688;19.647;15.571;15.053;14.838;11.908;22.670;18.777;20.594;14.037;27.456;32.623;34.866;33.370;32.442;34.258;27.540;20.883;24.339;27.833;29.376;19.325;19.290;15.700;18.461;19.595;18.532;21.715;19.144;19.641;22.754;27.091;28.393;24.590
CRM;0.031;1.765;3.681;14.713;3.007;2.312;2.361;7.474;20.577;1.845;15.559;3.089;0.106;2.191;2.171;0.105;0.121;2.161;2.180;0.000;2.791;2.097;2.429;2.732;2.204;2.013;2.359;2.496;2.063;2.008;2.426;2.177;2.198;2.284;1.983;2.124;2.116;2.024;1.951;2.141;2.605;21.873;9.297;8.799
Tekay;8.084;9.046;3.712;3.835;7.490;7.553;6.570;249.417;173.014;201.527;6.880;7.435;4.043;7.077;2.206;1.967;9.928;3.330;4.547;3.738;8.333;10.273;7.963;8.878;7.753;12.621;8.510;8.123;6.875;5.261;7.046;6.301;7.352;5.874;3.738;13.405;7.442;6.551;8.344;3.027;45.811;42.430;46.760;40.242
Reina;0.062;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.185;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
pararetrovirus;0.339;0.000;0.866;0.628;0.791;0.360;0.205;0.000;1.107;0.646;0.071;0.000;0.603;0.467;0.890;0.386;0.000;0.000;0.000;0.000;0.625;0.545;0.810;0.637;0.653;0.629;0.348;0.000;0.481;0.482;0.462;0.000;0.000;0.725;0.000;0.000;0.000;0.000;0.000;0.037;0.261;0.045;0.091;0.232
LINE;0.031;0.193;0.093;0.593;0.844;0.719;0.821;0.185;0.461;0.738;0.635;0.323;0.248;0.503;0.783;0.632;0.764;0.248;0.000;0.476;0.875;0.294;0.630;0.182;0.163;0.126;0.696;0.396;0.103;0.843;0.154;0.153;0.076;0.326;0.000;0.440;0.146;0.037;0.072;0.037;0.261;0.726;0.091;0.278
EnSpm_CACTA;2.345;0.883;0.619;1.185;2.901;3.185;3.234;19.470;21.223;8.951;2.964;4.849;2.518;2.658;2.171;2.634;4.864;3.118;3.908;3.665;2.625;3.187;4.454;2.823;4.530;3.145;2.359;2.774;3.231;2.731;2.541;2.826;2.729;1.994;3.280;3.736;2.189;2.908;4.046;2.658;4.994;4.402;6.289;4.029
hAT;0.000;0.000;0.062;0.000;0.000;0.000;0.000;0.000;3.045;1.661;0.000;0.000;0.071;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.042;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.363;0.000;0.046
MuDR_Mutator;1.111;0.414;0.155;5.195;2.110;2.209;2.156;31.281;24.268;21.131;3.563;3.699;3.157;2.838;2.989;3.056;4.783;3.011;3.345;3.299;2.916;2.893;2.879;3.232;2.693;3.061;2.940;3.685;2.338;3.012;2.734;3.399;3.259;2.719;3.013;3.589;3.064;3.497;2.817;3.249;6.991;8.214;7.657;6.761
PIF_Harbinger;0.062;0.000;0.062;0.593;1.108;1.079;1.078;0.277;3.230;1.107;1.235;1.185;0.993;0.970;1.281;0.703;1.005;1.098;1.127;0.990;0.917;1.593;1.125;1.366;1.347;1.426;1.431;1.070;1.031;1.325;1.117;1.337;0.872;1.233;1.144;1.428;0.948;1.288;0.759;1.255;1.520;1.316;1.276;1.389
Helitron;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.092;3.230;0.369;0.000;0.000;0.000;0.000;0.000;0.000;1.809;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.136;0.091;0.093
Unclassified_repeat_conflicting;4.011;7.557;0.000;0.000;25.582;33.652;27.820;0.000;3.506;10.612;2.646;0.108;26.814;0.000;0.000;19.882;18.088;0.000;0.000;15.027;20.081;14.173;0.000;21.625;15.262;20.001;14.737;0.000;11.791;17.953;4.659;0.000;0.000;17.513;21.207;0.000;0.000;0.000;0.000;0.000;18.672;0.000;0.000;9.401
Unclassified;14.194;16.162;41.754;22.314;25.529;21.219;22.431;25.006;32.019;35.341;21.945;18.821;14.897;15.879;18.325;18.758;18.410;14.951;14.280;15.943;21.873;21.259;20.155;21.716;17.017;19.205;18.296;16.405;14.576;17.832;18.480;17.530;15.045;16.897;14.227;14.797;17.838;16.894;15.171;17.131;20.322;21.600;15.906;18.153
All;70.197;57.758;68.199;78.587;154.812;160.401;165.227;627.188;533.530;522.642;91.485;100.137;86.047;81.802;82.695;79.772;107.242;86.161;93.611;82.354;107.907;114.809;125.696;123.739;110.016;116.277;102.076;98.944;88.658;104.946;104.837;97.043;95.919;84.919;92.342;92.334;88.098;91.756;87.557;91.302;143.774;163.728;158.691;152.540
